,id,release_date,movie,production_budget,domestic_gross,total_gross,profitability
5288,89,2000-09-22,The Specials,1000000,12996,12996,0.012996
3330,31,2000-09-22,Dancer in the Dark,12500000,4157491,45557491,3.64459928
3065,66,2000-09-22,Urban Legends: Final Cut,15000000,21468807,38574362,2.571624133333333
3902,3,2000-09-22,Woman on Top,8000000,5018450,10192613,1.274076625
4131,32,2000-09-27,Best in Show,6000000,18621249,20695413,3.4492355
3800,1,2000-09-29,Beautiful,9000000,3134509,3134509,0.34827877777777777
5246,47,2000-09-29,The Broken Hearts Club: A Romantic Comedy,1000000,1744858,2022442,2.022442
1845,46,2000-09-29,Remember the Titans,30000000,115654751,136706683,4.556889433333334
4433,34,2000-10-06,Requiem for a Dream,4500000,3635482,7389233,1.6420517777777779
985,86,2000-10-06,Meet the Parents,55000000,166225040,330425040,6.007728
4322,23,2000-10-06,Digimon: The Movie,5000000,9628751,16628751,3.3257502
3678,79,2000-10-06,Bamboozled,10000000,2185266,2373937,0.2373937
1502,3,2000-10-06,Get Carter,40000000,14967182,19417182,0.48542955
3782,83,2000-10-13,The Contender,9000000,17804273,17804273,1.9782525555555555
3491,92,2000-10-13,The Ladies Man,11000000,13592872,13719474,1.247224909090909
4281,82,2000-10-13,Billy Elliot,5000000,21995263,109253745,21.850749
4750,51,2000-10-13,Just Looking,3000000,39852,39852,0.013284
2070,71,2000-10-13,Lost Souls,28000000,16779636,31320293,1.118581892857143
1465,66,2000-10-20,Pay it Forward,40000000,33508922,55696705,1.392417625
2692,93,2000-10-20,The Yards,20000000,882710,2282710,0.1141355
1227,28,2000-10-20,Bedazzled,48000000,37879996,90376224,1.882838
3630,31,2000-10-20,The Legend of Drunken Master,10000000,11546543,11546543,1.1546543
2437,38,2000-10-27,The Little Vampire,22000000,13555988,13555988,0.6161812727272727
817,18,2000-10-27,Lucky Numbers,65000000,10014234,10014234,0.15406513846153846
4241,42,2000-10-27,A Room for Romeo Brass,5250000,20097,20097,0.003828
5727,28,2000-10-27,George Washington,42000,241816,342722,8.160047619047619
3057,58,2000-10-27,Book of Shadows: Blair Witch 2,15000000,26421314,47721314,3.1814209333333334
5410,11,2000-10-31,Mercy Streets,600000,173599,173599,0.28933166666666665
926,27,2000-11-03,The Legend of Bagger Vance,60000000,30695227,39235486,0.6539247666666667
447,48,2000-11-03,Charlie's Angels,90000000,125305545,259736090,2.8859565555555555
604,5,2000-11-10,Red Planet,80000000,17480890,33463969,0.4182996125
1797,98,2000-11-10,Men of Honor,32000000,48814909,82339483,2.57310884375
5160,61,2000-11-10,You Can Count on Me,1200000,9180275,10827356,9.022796666666666
586,87,2000-11-10,Little Nicky,80000000,39442871,58270391,0.7283798875
534,35,2000-11-17,The 6th Day,82000000,34543701,96024898,1.1710353414634147
1863,64,2000-11-17,Rugrats in Paris,30000000,76501438,103284813,3.4428271
1676,77,2000-11-17,Bounce,35000000,36805288,53425292,1.5264369142857144
282,83,2000-11-17,How the Grinch Stole Christmas,123000000,260044825,345141403,2.8060276666666666
674,75,2000-11-22,Unbreakable,73243106,94999143,248099143,3.387337819889834
3236,37,2000-11-22,Quills,13500000,7060876,11732088,0.8690435555555556
505,6,2000-11-22,102 Dalmatians,85000000,66941559,66941559,0.7875477529411765
5256,57,2000-12-01,Panic,1000000,779137,1425707,1.425707
808,9,2000-12-08,Proof of Life,65000000,32598931,62761005,0.9655539230769231
3581,82,2000-12-08,Snatch,10000000,30093107,83593107,8.3593107
1720,21,2000-12-08,Dungeons and Dragons,35000000,15185241,33771965,0.9649132857142857
2998,99,2000-12-08,"Crouching Tiger, Hidden Dragon",15000000,128067808,213514672,14.234311466666666
648,49,2000-12-08,Vertical Limit,75000000,68473360,213500000,2.8466666666666667
2182,83,2000-12-15,Chocolat,25000000,71309760,152500343,6.10001372
4148,49,2000-12-15,Pollock,6000000,8596914,10557291,1.7595485
771,72,2000-12-15,What Women Want,65000000,182805123,374105123,5.755463430769231
3258,59,2000-12-15,"Dude, Where's My Car?",13000000,46729374,73180297,5.6292536153846155
379,80,2000-12-15,The Emperor's New Groove,100000000,89296573,169296573,1.69296573
1335,36,2000-12-19,Finding Forrester,43000000,51768623,80013623,1.8607819302325581
3627,28,2000-12-19,The Gift,10000000,12008642,44567606,4.4567606
487,88,2000-12-22,Cast Away,85000000,233632142,427230516,5.026241364705882
3674,75,2000-12-22,The House of Mirth,10000000,3041803,5149131,0.5149131
1256,57,2000-12-22,Miss Congeniality,45000000,106807667,213420951,4.7426878
2134,35,2000-12-22,"O Brother, Where Art Thou?",26000000,45506619,75763814,2.913992846153846
1311,12,2000-12-22,All the Pretty Horses,45000000,15527125,18120267,0.4026726
2060,61,2000-12-22,Dracula 2000,28000000,33000377,33000377,1.178584892857143
4543,44,2000-12-22,An Everlasting Piece,4000000,75078,75078,0.0187695
593,94,2000-12-22,Thirteen Days,80000000,34566746,66554547,0.8319318375
869,70,2000-12-22,The Family Man,60000000,75764085,124715863,2.0785977166666667
1215,16,2000-12-27,Traffic,48000000,124107476,208300000,4.339583333333334
3308,9,2000-12-29,The Claim,13000000,622023,1375635,0.10581807692307692
3898,99,2000-12-29,Shadow of the Vampire,8000000,8279017,8279017,1.034877125
3246,47,2001-01-12,Save the Last Dance,13000000,91038276,122244329,9.403409923076923
2348,49,2001-01-12,Double Take,24000000,29823162,29823162,1.24263175
1976,77,2001-01-12,Antitrust,30000000,10965209,17865209,0.5955069666666667
1306,7,2001-01-19,The Pledge,45000000,19719930,29406132,0.6534696
2046,47,2001-01-26,The Wedding Planner,28000000,60400856,94728529,3.38316175
2762,63,2001-02-02,Left Behind,18500000,4221341,4221341,0.22818059459459458
3602,3,2001-02-02,Valentine,10000000,20384136,20384136,2.0384136
3208,9,2001-02-02,Head Over Heels,14000000,10397365,10397365,0.7426689285714285
2430,31,2001-02-09,Saving Silverman,22000000,19351569,25873142,1.1760519090909092
485,86,2001-02-09,Hannibal,87000000,165092266,350100280,4.0241411494252874
1486,87,2001-02-16,Sweet November,40000000,25288103,65754228,1.6438557
1872,73,2001-02-16,Down to Earth,30000000,64172251,71172251,2.372408366666667
3564,65,2001-02-16,Recess: School's Out,10000000,36696761,44451470,4.445147
834,35,2001-02-23,3000 Miles to Graceland,62000000,15738632,18708848,0.30175561290322583
669,70,2001-02-23,Monkeybone,75000000,5409517,5409517,0.07212689333333333
3239,40,2001-03-02,The Caveman's Valentine,13500000,687081,892506,0.06611155555555556
1417,18,2001-03-02,The Mexican,40000000,66808615,145238250,3.63095625
3297,98,2001-03-02,The Widow of St. Pierre,13000000,3058380,3058380,0.23526
2940,41,2001-03-02,See Spot Run,16000000,33357476,43057552,2.691097
3443,44,2001-03-09,Company Man,12000000,146028,622273,0.05185608333333333
5765,66,2001-03-09,Dayereh,10000,673780,673780,67.378
1359,60,2001-03-09,15 Minutes,42000000,24375436,56331864,1.3412348571428572
3629,30,2001-03-09,Get Over It,10000000,11560259,19860259,1.9860259
5576,77,2001-03-16,American Desi,250000,902835,1366235,5.46494
4276,77,2001-03-16,Memento,5000000,25544867,39723096,7.9446192
1771,72,2001-03-16,Exit Wounds,33000000,51758599,79958599,2.4229878484848486
5716,17,2001-03-16,Gabriela,50000,2335352,2335352,46.70704
510,11,2001-03-16,Enemy at the Gates,85000000,51396781,96971293,1.1408387411764707
4122,23,2001-03-23,The Brothers,6000000,27457409,27958191,4.6596985
2299,100,2001-03-23,Say It Isn't So,25000000,5516708,5516708,0.22066832
1566,67,2001-03-23,Heartbreakers,38000000,40334024,57753825,1.5198375
1634,35,2001-03-30,Spy Kids,35000000,112692062,197692062,5.6483446285714285
2816,17,2001-03-30,The Tailor of Panama,18000000,13491653,27491653,1.5273140555555555
4913,14,2001-03-30,Amores Perros,2000000,5383834,20883834,10.441917
2378,79,2001-03-30,Someone Like You,23000000,27338033,38684906,1.6819524347826087
3492,93,2001-03-30,Tomcats,11000000,13558739,13558739,1.2326126363636363
4683,84,2001-04-06,Pokemon 3: The Movie,3000000,17052128,68452128,22.817376
1889,90,2001-04-06,Blow,30000000,52990775,83282296,2.7760765333333333
2038,39,2001-04-06,Along Came a Spider,28000000,74058698,105159085,3.755681607142857
1525,26,2001-04-06,Just Visiting,40000000,4777007,16172200,0.404305
5254,55,2001-04-06,Brigham City,1000000,852206,852206,0.852206
2943,44,2001-04-11,Joe Dirt,16000000,27087695,30987695,1.9367309375
4005,6,2001-04-11,Kingdom Come,7000000,23247539,23393939,3.3419912857142857
2435,36,2001-04-11,Josie and the Pussycats,22000000,14252830,14252830,0.6478559090909091
2181,82,2001-04-13,Bridget Jones's Diary,25000000,71500556,281527158,11.26108632
2239,40,2001-04-20,Crocodile Dundee in Los Angeles,25000000,25590119,39393111,1.57572444
3082,83,2001-04-20,Freddy Got Fingered,15000000,14249005,14249005,0.9499336666666667
352,53,2001-04-27,Town & Country,105000000,6712451,10364769,0.09871208571428572
686,87,2001-04-27,Driven,72000000,32616869,54616869,0.758567625
3935,36,2001-04-27,Akira,8000000,19585,19585,0.002448125
4327,28,2001-04-27,The Forsaken,5000000,6755271,6755271,1.3510542
4958,59,2001-05-04,Eureka,2000000,49388,76654,0.038327
409,10,2001-05-04,The Mummy Returns,98000000,202007640,435040395,4.4391877040816325
1371,72,2001-05-11,A Knightâs Tale,41000000,56083966,100622586,2.454209414634146
1082,83,2001-05-18,Shrek,50000000,267655011,491812794,9.83625588
1571,72,2001-05-18,Angel Eyes,38000000,24044532,29544532,0.7774876842105263
1060,61,2001-05-18,Moulin Rouge,53000000,57386369,179200588,3.381143169811321
152,53,2001-05-25,Pearl Harbor,151500000,198539855,449239855,2.9652795709570956
2411,12,2001-06-01,The Animal,22000000,55762229,55762229,2.534646772727273
1930,31,2001-06-01,What's the Worst That Could Happen?,30000000,32267774,38462071,1.2820690333333333
575,76,2001-06-08,Swordfish,80000000,69772969,147080413,1.8385051625
456,57,2001-06-08,Atlantis: The Lost Empire,90000000,84052762,186049020,2.0672113333333333
588,89,2001-06-08,Evolution,80000000,38311134,98341932,1.22927415
4465,66,2001-06-13,Sexy Beast,4300000,6946056,10158355,2.362408139534884
427,28,2001-06-15,Lara Croft: Tomb Raider,94000000,131144183,273330185,2.907767925531915
5023,24,2001-06-15,Songcatcher,1800000,3050934,3050934,1.6949633333333334
683,84,2001-06-22,Dr. Dolittle 2,72000000,112950721,176101721,2.4458572361111113
1553,54,2001-06-22,The Fast and the Furious,38000000,144512310,206512310,5.43453447368421
2942,43,2001-06-27,Baby Boy,16000000,28734552,28734552,1.7959095
3277,78,2001-06-29,crazy/beautiful,13000000,16929123,19929123,1.5330094615384615
459,60,2001-06-29,Artificial Intelligence: AI,90000000,78616689,235900000,2.621111111111111
4611,12,2001-06-29,Pootie Tang,3500000,3293258,3293258,0.9409308571428572
3162,63,2001-06-29,Pandaemonium,15000000,0,0,0.0
858,59,2001-07-04,Cats & Dogs,60000000,93375151,200700000,3.345
1269,70,2001-07-04,Scary Movie 2,45000000,71277420,141189101,3.137535577777778
5767,68,2001-07-06,Cure,10000,94596,94596,9.4596
2215,16,2001-07-06,Kiss of the Dragon,25000000,36833473,36833473,1.47333892
223,24,2001-07-11,Final Fantasy: The Spirits Within,137000000,32131830,85131830,0.6214002189781022
4878,79,2001-07-13,Bully,2100000,881824,1381824,0.6580114285714286
755,56,2001-07-13,The Score,68000000,71069884,113542091,1.6697366323529412
4334,35,2001-07-13,Made,5000000,5308707,5476060,1.095212
2767,68,2001-07-13,Legally Blonde,18000000,96493426,141809235,7.878290833333334
429,30,2001-07-18,Jurassic Park III,93000000,181166115,365900000,3.934408602150538
1244,45,2001-07-20,America's Sweethearts,46000000,93607673,160648493,3.492358543478261
4164,65,2001-07-20,Hedwig and the Angry Inch,6000000,3067312,3740030,0.6233383333333333
3435,36,2001-07-20,Brother,12000000,450594,450594,0.0375495
4221,22,2001-07-20,Ghost World,5500000,6217849,8761608,1.5930196363636364
366,67,2001-07-27,Planet of the Apes,100000000,180011740,362211740,3.6221174
5516,17,2001-07-27,Jackpot,400000,44452,44452,0.11113
2143,44,2001-08-03,Original Sin,26000000,16521410,16521410,0.6354388461538462
1850,51,2001-08-03,The Princess Diaries,30000000,108244774,165334774,5.511159133333333
440,41,2001-08-03,Rush Hour 2,90000000,226164286,347425832,3.8602870222222223
4697,98,2001-08-08,The Deep End,3000000,8823109,9981635,3.3272116666666665
1840,41,2001-08-10,American Pie 2,30000000,145096820,286500000,9.55
2866,67,2001-08-10,The Others,17000000,96522687,207765056,12.22147388235294
744,45,2001-08-10,Osmosis Jones,70000000,13596911,13596911,0.1942415857142857
5090,91,2001-08-10,Session 9,1500000,378176,1619602,1.0797346666666667
1225,26,2001-08-13,K-PAX,48000000,50315140,50315140,1.0482320833333334
4102,3,2001-08-17,Aberdeen,6500000,64148,64148,0.009868923076923077
1724,25,2001-08-17,American Outlaws,35000000,13264986,13601109,0.3886031142857143
975,76,2001-08-17,Captain Corelli's Mandolin,57000000,25528495,62097495,1.0894297368421053
1223,24,2001-08-17,Rat Race,48000000,56607223,86607223,1.8043171458333334
5277,78,2001-08-22,Lisa Picard is Famous,1000000,113433,113433,0.113433
2892,93,2001-08-24,Summer Catch,17000000,19693891,19693891,1.1584641764705883
2422,23,2001-08-24,Jay and Silent Bob Strike Back,22000000,30059386,33762400,1.5346545454545455
2075,76,2001-08-24,John Carpenterâs Ghosts of Mars,28000000,8434601,8434601,0.30123575
2148,49,2001-08-24,The Curse of the Jade Scorpion,26000000,7496522,18496522,0.7114046923076923
3291,92,2001-08-24,Bubble Boy,13000000,5002310,5002310,0.3847930769230769
5286,87,2001-08-31,Speedway Junky,1000000,17127,17127,0.017127
3561,62,2001-08-31,Jeepers Creepers,10000000,37904175,58939035,5.8939035
4296,97,2001-08-31,O (Othello),5000000,16017403,16017403,3.2034806
3273,74,2001-09-07,Two Can Play That Game,13000000,22235901,22391450,1.7224192307692308
1482,83,2001-09-07,The Musketeer,40000000,27053815,27053815,0.676345375
5391,92,2001-09-07,L.I.E.,700000,1140965,1140965,1.62995
1577,78,2001-09-07,Rock Star,38000000,16991902,19317765,0.5083622368421052
3218,19,2001-09-07,Soul Survivors,14000000,3100650,4288246,0.3063032857142857
2432,33,2001-09-14,The Glass House,22000000,17951431,22861785,1.0391720454545454
2465,66,2001-09-14,Hardball,21000000,40222729,43728560,2.082312380952381
2444,45,2001-09-21,Megiddo: Omega Code 2,22000000,6047691,6047691,0.27489504545454546
3845,46,2001-09-21,Glitter,8500000,4273372,4273372,0.5027496470588235
1128,29,2001-09-28,Donât Say a Word,50000000,54997476,104488383,2.08976766
2054,55,2001-09-28,Zoolander,28000000,45172250,60780981,2.1707493214285716
4942,43,2001-09-28,Dinner Rush,2000000,638227,1075504,0.537752
1831,32,2001-09-28,Hearts in Atlantis,31000000,24185781,30885781,0.9963155161290322
2052,53,2001-10-05,Serendipity,28000000,50255310,77477297,2.7670463214285714
2380,81,2001-10-05,Joy Ride,23000000,21973182,21973182,0.9553557391304348
1266,67,2001-10-05,Training Day,45000000,76261036,104505362,2.3223413777777777
3392,93,2001-10-05,Max Keeble's Big Move,12000000,17292381,17292381,1.44103175
3113,14,2001-10-08,Mulholland Drive,15000000,7219578,20785973,1.3857315333333333
3484,85,2001-10-12,Corky Romano,11000000,23978402,25116103,2.2832820909090907
658,59,2001-10-12,Bandits,75000000,41523271,71523271,0.9536436133333334
938,39,2001-10-19,The Last Castle,60000000,18208078,20541668,0.34236113333333335
1687,88,2001-10-19,From Hell,35000000,31598308,68712365,1.9632104285714285
1236,37,2001-10-19,Riding in Cars with Boys,47000000,29781453,29781453,0.6336479361702128
3646,47,2001-10-24,Bones,10000000,7316658,8378853,0.8378853
4438,39,2001-10-26,Donnie Darko,4500000,1480006,7510877,1.6690837777777778
3708,9,2001-10-26,High Heels and Low Lifes,10000000,226792,226792,0.0226792
2811,12,2001-10-26,Life as a House,18000000,15652637,23889158,1.3271754444444444
2733,34,2001-10-26,Thirteen Ghosts,19000000,41867960,68467960,3.603576842105263
3662,63,2001-10-26,On the Line,10000000,4365455,4690802,0.4690802
306,7,2001-11-02,"Monsters, Inc.",115000000,289423425,559757719,4.867458426086957
1061,62,2001-11-02,Domestic Disturbance,53000000,45207112,54207112,1.0227756981132075
1209,10,2001-11-02,The One,49000000,43905746,72689126,1.4834515510204083
5470,71,2001-11-02,Everything Put Together,500000,0,7890,0.01578
3530,31,2001-11-02,Le Fabuleux destin d'AmÃ©lie Poulain,10350000,33201661,174201661,16.83107835748792
5690,91,2001-11-09,Keeping it Real: The Adventures of Greg Walloch,100000,1358,1358,0.01358
1412,13,2001-11-09,Shallow Hal,40000000,70836296,70836296,1.7709074
1703,4,2001-11-09,Heist,35000000,23483357,28906817,0.8259090571428571
4499,100,2001-11-14,The Wash,4000000,10097096,10097096,2.524274
262,63,2001-11-16,Harry Potter and the Sorcererâs Stone,125000000,317871467,975047606,7.800380848
4167,68,2001-11-16,Novocaine,6000000,2025238,2522928,0.420488
1683,84,2001-11-21,Black Knight,35000000,33422806,33422806,0.9549373142857143
466,67,2001-11-21,Spy Game,90000000,62362560,143049560,1.5894395555555556
5244,45,2001-11-21,Sidewalks of New York,1000000,2402459,3575308,3.575308
3490,91,2001-11-21,Out Cold,11000000,13906394,14786394,1.3442176363636364
5038,39,2001-11-23,In the Bedroom,1700000,35930604,42137871,24.786982941176472
1423,24,2001-11-30,Behind Enemy Lines,40000000,58855732,58855732,1.4713933
1582,83,2001-11-30,Texas Rangers,38000000,623374,623374,0.01640457894736842
489,90,2001-12-07,Ocean's Eleven,85000000,183417150,450728529,5.302688576470588
4171,72,2001-12-07,The Business of Strangers,6000000,1030920,1290920,0.21515333333333334
5251,52,2001-12-07,No Man's Land,1000000,1067481,2684207,2.684207
706,7,2001-12-14,Vanilla Sky,70000000,100614858,202726605,2.8960943571428572
4222,23,2001-12-14,Iris,5500000,5580479,5580479,1.0146325454545455
3031,32,2001-12-14,Not Another Teen Movie,15000000,37882551,62401343,4.160089533333333
2050,51,2001-12-14,The Royal Tenenbaums,28000000,52353636,71430876,2.5511027142857143
4033,34,2001-12-14,The Other Side of Heaven,7000000,4720371,4720371,0.6743387142857142
342,43,2001-12-19,The Lord of the Rings: The Fellowship of the Ring,109000000,315544750,887210985,8.139550321100918
2174,75,2001-12-21,Jimmy Neutron: Boy Genius,25000000,80936232,102992536,4.11970144
1572,73,2001-12-21,Joe Somebody,38000000,22770864,24515990,0.6451576315789473
687,88,2001-12-21,The Majestic,72000000,27796042,37306334,0.5181435277777777
3372,73,2001-12-21,How High,12000000,31155435,31222395,2.60186625
611,12,2001-12-21,A Beautiful Mind,78000000,170708996,317668058,4.07266741025641
344,45,2001-12-25,Ali,109000000,58183966,87683966,0.8044400550458716
1726,27,2001-12-25,The Shipping News,35000000,11405825,24405825,0.6973092857142857
1226,27,2001-12-25,Kate and Leopold,48000000,47095453,70937778,1.477870375
4483,84,2001-12-26,Monster's Ball,4000000,31273922,43766463,10.94161575
2787,88,2001-12-26,Gosford Park,18000000,41300105,41300105,2.294450277777778
2417,18,2001-12-28,I Am Sam,22000000,40270895,92542418,4.206473545454545
414,15,2001-12-28,Black Hawk Down,95000000,108638745,159691085,1.6809587894736842
3972,73,2001-12-31,The Hole,7500000,0,10834406,1.4445874666666667
4992,93,2001-12-31,Pendulum,2000000,0,0,0.0
1522,23,2002-01-04,Impostor,40000000,6114237,7974607,0.199365175
2788,89,2002-01-11,Orange County,18000000,41059716,43308707,2.406039277777778
1791,92,2002-01-18,Snow Dogs,32000000,81150692,116898028,3.653063375
1355,56,2002-01-25,The Mothman Prophecies,42000000,35228696,56438555,1.343775119047619
3475,76,2002-01-25,A Walk to Remember,11000000,41227069,46060861,4.187351
1431,32,2002-01-25,The Count of Monte Cristo,40000000,54228104,75389090,1.88472725
3615,16,2002-01-25,Kung Pow: Enter the Fist,10000000,16033556,17033556,1.7033556
3138,39,2002-01-25,Metropolis,15000000,673414,1405032,0.0936688
3292,93,2002-02-01,Birthday Girl,13000000,4919896,8130727,0.6254405384615385
3500,1,2002-02-01,Slackers,11000000,4814244,5942218,0.5402016363636364
5437,38,2002-02-01,The Singles Ward,500000,1250798,1250798,2.501596
740,41,2002-02-08,Rollerball,70000000,18990542,25852508,0.36932154285714286
517,18,2002-02-08,Collateral Damage,85000000,40048332,78353508,0.9218059764705883
3022,23,2002-02-08,Big Fat Liar,15000000,47811275,52461017,3.4974011333333332
3423,24,2002-02-15,Last Orders,12000000,2326407,2326407,0.19386725
1606,7,2002-02-15,John Q,36000000,71026631,102226631,2.8396286388888887
2527,28,2002-02-15,Peter Pan: Return to Neverland,20000000,48430258,109862682,5.4931341
3366,67,2002-02-15,Crossroads,12000000,37188667,57000000,4.75
739,40,2002-02-15,Hart's War,70000000,19076815,33076815,0.47252592857142856
5158,59,2002-02-15,Super Troopers,1200000,18492362,23046142,19.205118333333335
909,10,2002-02-19,Reign of Fire,60000000,43061982,82150183,1.3691697166666668
4449,50,2002-02-22,Mean Machine,4500000,92723,92723,0.020605111111111112
1691,92,2002-02-22,Queen of the Damned,35000000,30307804,30307804,0.8659372571428572
5198,99,2002-02-22,Sex with Strangers,1100000,247740,247740,0.22521818181818182
927,28,2002-02-22,Dragonfly,60000000,30063805,30063805,0.5010634166666667
5159,60,2002-02-22,Monsoon Wedding,1200000,13876974,27025600,22.521333333333335
5654,55,2002-03-01,The Calling,160000,32092,32092,0.200575
2882,83,2002-03-01,40 Days and 40 Nights,17000000,37939782,95092667,5.593686294117647
712,13,2002-03-01,We Were Soldiers,70000000,78120196,114658262,1.6379751714285715
3963,64,2002-03-08,Men with Brooms,7500000,4239767,4239767,0.5653022666666667
582,83,2002-03-08,The Time Machine,80000000,56684819,98983590,1.237294875
3192,93,2002-03-08,All About the Benjamins,14000000,25482931,25873145,1.8480817857142857
5072,73,2002-03-13,Kissing Jessica Stein,1500000,7025722,9345061,6.230040666666667
4304,5,2002-03-15,Y Tu MamÃ¡ TambiÃ©n,5000000,13649881,33649881,6.7299762
1669,70,2002-03-15,Resident Evil,35000000,40119709,103787401,2.9653543142857144
773,74,2002-03-15,Ice Age,65000000,176387405,386116343,5.940251430769231
518,19,2002-03-15,Showtime,85000000,37948765,78948765,0.928809
3405,6,2002-03-22,Sorority Boys,12000000,10198766,12516222,1.0430185
5100,1,2002-03-22,Stolen Summer,1500000,119841,119841,0.079894
1049,50,2002-03-22,Blade 2,54000000,81676888,154338601,2.858122240740741
2408,9,2002-03-29,The Rookie,22000000,75600072,80491516,3.6587052727272726
1196,97,2002-03-29,Death to Smoochy,50000000,8355815,8374062,0.16748124
1216,17,2002-03-29,Panic Room,48000000,95308367,196308367,4.089757645833333
2138,39,2002-03-29,Clockstoppers,26000000,36985501,38788828,1.491878
1320,21,2002-04-05,Big Trouble,45000000,7262288,8488871,0.1886415777777778
1352,53,2002-04-05,High Crimes,42000000,41543207,63781100,1.5185976190476191
4184,85,2002-04-05,Lucky Break,6000000,54606,4316497,0.7194161666666666
4129,30,2002-04-05,National Lampoonâs Van Wilder,6000000,21305259,39241323,6.5402205
3494,95,2002-04-12,Frailty,11000000,13110448,19947280,1.8133890909090908
1338,39,2002-04-12,The Sweetest Thing,43000000,24430272,63078756,1.4669478139534884
1273,74,2002-04-12,Changing Lanes,45000000,66790248,66790248,1.4842277333333334
861,62,2002-04-19,The Scorpion King,60000000,90580000,165890634,2.7648439
4247,48,2002-04-19,My Big Fat Greek Wedding,5000000,241438208,374890034,74.9780068
5082,83,2002-04-19,Nueve Reinas,1500000,1222889,12412889,8.275259333333333
1161,62,2002-04-19,Murder by Numbers,50000000,31874869,56643267,1.13286534
5510,11,2002-04-26,Dogtown and Z-Boys,400000,1293295,1600566,4.001415
1504,5,2002-04-26,"Life, or Something Like It",40000000,14448589,14448589,0.361214725
2843,44,2002-04-26,The Salton Sea,18000000,676698,676698,0.037594333333333334
3203,4,2002-04-26,Jason X,14000000,13121555,16951798,1.2108427142857143
2965,66,2002-05-03,Hollywood Ending,16000000,4839383,14839383,0.9274614375
218,19,2002-05-03,Spider-Man,139000000,403706375,821706375,5.911556654676259
3655,56,2002-05-03,Deuces Wild,10000000,6044618,6244618,0.6244618
1130,31,2002-05-08,Unfaithful,50000000,52752475,119114494,2.38228988
5624,25,2002-05-10,The Business of Fancy Dancing,200000,174682,174682,0.87341
3263,64,2002-05-10,The New Guy,13000000,28972187,28972187,2.228629769230769
5625,26,2002-05-10,Hybrid,200000,162605,162605,0.813025
305,6,2002-05-16,Star Wars Ep. II: Attack of the Clones,115000000,310676740,656695615,5.710396652173913
5088,89,2002-05-17,The Believer,1500000,406035,1840248,1.226832
4229,30,2002-05-17,Harvard Man,5500000,56653,56653,0.010300545454545455
2098,99,2002-05-17,About a Boy,27000000,40803000,130759651,4.842950037037037
3108,9,2002-05-22,The Importance of Being Earnest,15000000,8378141,8378141,0.5585427333333334
1567,68,2002-05-24,Enough,38000000,39177215,50970660,1.341333157894737
574,75,2002-05-24,Spirit: Stallion of the Cimarron,80000000,73215310,106515310,1.331441375
4719,20,2002-05-24,Thirteen Conversations About One Thing,3000000,3287435,3705923,1.2353076666666667
1246,47,2002-05-24,Insomnia,46000000,67263182,113622499,2.4700543260869567
4879,80,2002-05-29,Elling,2100000,313436,313436,0.1492552380952381
2213,14,2002-05-31,Undercover Brother,25000000,38230435,40796145,1.6318458
753,54,2002-05-31,The Sum of All Fears,68000000,118471320,193500000,2.8455882352941178
2092,93,2002-06-07,The Divine Secrets of the Ya-Ya Sisterhood,27000000,69586544,73826768,2.7343247407407407
733,34,2002-06-07,Bad Company,70000000,30157016,69157016,0.9879573714285714
3427,28,2002-06-14,The Dangerous Lives of Altar Boys,12000000,1779284,1779284,0.14827366666666666
850,51,2002-06-14,The Bourne Identity,60000000,121468960,214357371,3.57262285
525,26,2002-06-14,Scooby-Doo,84000000,153294164,276294164,3.289216238095238
310,11,2002-06-14,Windtalkers,115000000,40914068,77628265,0.6750283913043478
4209,10,2002-06-21,Sunshine State,5600000,3064356,3281898,0.5860532142857143
2983,84,2002-06-21,Juwanna Mann,15600000,13571817,13771817,0.8828087820512821
545,46,2002-06-21,Lilo & Stitch,80000000,145771527,245800000,3.0725
360,61,2002-06-21,Minority Report,102000000,132024714,358824714,3.5178893529411766
1093,94,2002-06-28,Mr. Deeds,50000000,126293452,171269535,3.4253907
5570,71,2002-06-28,Lovely and Amazing,250000,4210379,4613482,18.453928
3624,25,2002-06-28,Hey Arnold! The Movie,10000000,13684949,13684949,1.3684949
2280,81,2002-07-03,The Powerpuff Girls,25000000,11411644,16425701,0.65702804
1894,95,2002-07-03,Like Mike,30000000,51432423,62432423,2.0810807666666666
208,9,2002-07-03,Men in Black 2,140000000,190418803,441767803,3.1554843071428573
3047,48,2002-07-12,Halloween: Resurrection,15000000,30259652,37659652,2.5106434666666666
5446,47,2002-07-12,Never Again,500000,307631,308793,0.617586
556,57,2002-07-12,Road to Perdition,80000000,104054514,183354514,2.291931425
3316,17,2002-07-12,The Crocodile Hunter: Collision Course,12500000,28436931,33436931,2.67495448
1960,61,2002-07-17,Eight Legged Freaks,30000000,17266505,36722311,1.2240770333333333
5657,58,2002-07-19,Tadpole,150000,2891288,3270128,21.800853333333333
474,75,2002-07-19,K-19: The Widowmaker,90000000,35168966,65716126,0.7301791777777777
294,95,2002-07-19,Stuart Little 2,120000000,64956806,166000000,1.3833333333333333
5553,54,2002-07-19,Ayurveda: Art of Being,300000,16892,2066892,6.88964
825,26,2002-07-25,Austin Powers in Goldmember,63000000,213117789,296338663,4.703788301587301
2609,10,2002-07-26,The Country Bears,20000000,16988996,16988996,0.8494498
2935,36,2002-08-02,The Master of Disguise,16000000,40363530,40363530,2.522720625
