,id,year,movie,production_budget,domestic_gross,total_gross,profitability
5174,75,2003,Down & Out with the Dolls,1200000,58936,58936,0.049113333333333335
176,77,2003,The Matrix Revolutions,150000000,139270910,427300260,2.8486684
4960,61,2003,This Thing of Ours,2000000,37227,37227,0.0186135
5140,41,2003,The Hebrew Hammer,1300000,77755,90213,0.06939461538461539
5006,7,2003,Northfork,1900000,1420578,1445140,0.7606
392,93,2003,Peter Pan,100000000,48417850,95255485,0.95255485
5035,36,2003,May,1750000,145540,634803,0.3627445714285714
343,44,2003,The Cat in the Hat,109000000,101018283,133818283,1.2276906697247707
2791,92,2003,Honey,18000000,30272254,62646763,3.480375722222222
2704,5,2003,People I Know,20000000,121972,5694213,0.28471065
5266,67,2003,Blue Car,1000000,464126,475367,0.475367
2774,75,2003,Bad Santa,18000000,60060328,77147031,4.285946166666666
562,63,2003,Cold Mountain,80000000,95632614,165173909,2.0646738625
2198,99,2003,Agent Cody Banks,25000000,47545060,58240458,2.32961832
598,99,2003,Looney Tunes: Back in Action,80000000,20950820,54540662,0.681758275
4726,27,2003,DysFunkTional Family,3000000,2255000,2255000,0.7516666666666667
4729,30,2003,Elephant,3000000,1266955,10051516,3.3505053333333334
2612,13,2003,21 Grams,20000000,16248701,59667625,2.98338125
2616,17,2003,A Guy Thing,20000000,15543862,17430594,0.8715297
159,60,2003,The Matrix Reloaded,150000000,281553689,738576929,4.9238461933333335
4909,10,2003,American Splendor,2000000,6003587,8685632,4.342816
558,59,2003,Daredevil,80000000,102543518,182782518,2.284781475
2821,22,2004,Being Julia,18000000,7739049,14488705,0.8049280555555556
638,39,2004,50 First Dates,75000000,120776832,196320329,2.6176043866666667
1120,21,2004,The Forgotten,50000000,66711892,117211892,2.34423784
4977,78,2004,Freeze Frame,2000000,0,105377,0.0526885
2957,58,2004,Soul Plane,16000000,13922211,14553807,0.9096129375
1115,16,2004,Garfield: The Movie,50000000,75367693,208094550,4.161891
634,35,2004,Shark Tale,75000000,161412000,371917043,4.958893906666667
868,69,2004,Man on Fire,60000000,77906816,130968579,2.18280965
2961,62,2004,The Cookout,16000000,11540112,11540112,0.721257
1116,17,2004,Christmas with the Kranks,50000000,73701902,96469187,1.92938374
394,95,2004,Catwoman,100000000,40202379,82145379,0.82145379
2159,60,2004,The Passion of the Christ,25000000,370782930,622341924,24.89367696
4912,13,2004,Before Sunset,2000000,5792822,11217346,5.608673
2871,72,2004,Sideways,17000000,71502303,109793192,6.45842305882353
1018,19,2004,The Phantom of the Opera,55000000,51225796,153770052,2.7958191272727273
1010,11,2004,Kill Bill: Volume 2,55000000,66207920,153535982,2.791563309090909
4356,57,2004,The Machinist,5000000,1082044,8655397,1.7310794
1992,93,2004,The Merchant of Venice,30000000,3765585,18765585,0.6255195
1876,77,2004,Friday Night Lights,30000000,61255921,61950770,2.0650256666666666
578,79,2004,The Manchurian Candidate,80000000,65948711,96148711,1.2018588875
4335,36,2004,La mala educaciÃ³n,5000000,5211842,40311842,8.0623684
2230,31,2004,Anacondas: The Hunt for the Blood Orchid,25000000,31526393,70326393,2.81305572
1881,82,2004,Without a Paddle,30000000,58156435,65121280,2.1707093333333334
874,75,2004,Ladder 49,60000000,74541707,102332848,1.7055474666666666
799,100,2004,Blade: Trinity,65000000,52397389,131353165,2.020817923076923
616,17,2004,Exorcist: The Beginning,78000000,41814863,43957541,0.563558217948718
1980,81,2004,First Daughter,30000000,9055010,10419084,0.3473028
5507,8,2004,Napoleon Dynamite,400000,44540956,46122713,115.3067825
5512,13,2004,Tarnation,400000,592014,1162014,2.905035
120,21,2004,Van Helsing,170000000,120150546,300150546,1.7655914470588234
3637,38,2004,Sleepover,10000000,9408183,9408183,0.9408183
2384,85,2004,Vanity Fair,23000000,16123851,19123851,0.8314717826086957
1853,54,2004,Million Dollar Baby,30000000,100492203,231928227,7.7309409
5181,82,2004,Grand Theft Parsons,1200000,0,0,0.0
2772,73,2004,Barbershop 2: Back in Business,18000000,65070412,65842412,3.6579117777777777
1937,38,2004,The Prince & Me,30000000,28165882,29356757,0.9785585666666666
4704,5,2004,Woman Thou Art Loosed,3000000,6879730,6879730,2.2932433333333333
2135,36,2004,In Good Company,26000000,45489752,63489752,2.4419135384615385
4419,20,2004,The Assassination of Richard Nixon,4600000,708776,4880143,1.060900652173913
883,84,2004,Hellboy,60000000,59623958,99823958,1.6637326333333333
4224,25,2004,Les Choristes,5500000,3629758,83529758,15.187228727272727
614,15,2004,Hidalgo,78000000,67286731,108086731,1.3857273205128204
1043,44,2004,Thunderbirds,55000000,6768055,28231444,0.5132989818181818
434,35,2004,The Alamo,92000000,22406362,23911362,0.25990610869565217
2860,61,2004,Hotel Rwanda,17500000,23519128,36521223,2.0869270285714285
2217,18,2004,Beauty Shop,25000000,36351350,38351350,1.534054
1044,45,2004,Un long dimanche de fianÃ§ailles,55000000,6167817,69759296,1.2683508363636364
432,33,2004,The Incredibles,92000000,261441092,614726752,6.681812521739131
4915,16,2004,Touching the Void,2000000,4593598,15396525,7.6982625
4804,5,2004,Riding Giants,2600000,2276368,3292333,1.266281923076923
336,37,2004,Home on the Range,110000000,50026353,76482461,0.6952951
2145,46,2004,Welcome to Mooseport,26000000,14469428,14469428,0.5565164615384616
863,64,2004,Starsky & Hutch,60000000,88200225,170200225,2.8366704166666667
4080,81,2004,"Remember Me, My Love",6700000,223878,223878,0.03341462686567164
3242,43,2004,Mar adentro,13300000,2086345,39686345,2.9839357142857144
1858,59,2004,SpongeBob SquarePants: The Movie,30000000,85416609,142051255,4.735041833333334
1154,55,2004,Raising Helen,50000000,37485528,49928680,0.9985736
340,41,2004,Around the World in 80 Days,110000000,24004159,72004159,0.6545832636363637
4105,6,2004,"Good Bye, Lenin!",6400000,4063859,79384539,12.40383421875
2268,69,2004,The Girl Next Door,25000000,14589444,31635150,1.265406
1174,75,2004,The Life Aquatic with Steve Zissou,50000000,24006726,34806726,0.69613452
1860,61,2004,The Notebook,30000000,81001787,116025023,3.8675007666666668
1149,50,2004,Bridget Jones: The Edge Of Reason,50000000,40203020,263894551,5.27789102
3251,52,2004,The Butterfly Effect,13000000,57924679,95638592,7.356814769230769
645,46,2004,The Terminal,75000000,77073959,218673959,2.9156527866666666
3051,52,2004,Confessions of a Teenage Drama Queen,15000000,29331068,33118854,2.2079236
4101,2,2004,A Home at the End of the World,6500000,1029017,1033810,0.1590476923076923
374,75,2004,Lemony Snicket's A Series of Unfortunate Events,100000000,118627117,212956024,2.12956024
347,48,2004,"I, Robot",105000000,144801023,348629585,3.320281761904762
2254,55,2004,Eurotrip,25000000,17718223,20718223,0.82872892
4078,79,2004,Shade,6800000,25032,9533964,1.4020535294117646
386,87,2004,The Stepford Wives,100000000,59475623,96221971,0.96221971
2024,25,2004,Seed of Chucky,29000000,17016190,24716190,0.8522824137931034
2594,95,2004,Yu-Gi-Oh,20000000,19762690,28762690,1.4381345
1173,74,2004,Twisted,50000000,25195050,40119848,0.80239696
367,68,2004,National Treasure,100000000,173005002,331323410,3.3132341
2809,10,2004,Catch That Kid,18000000,16703799,16959614,0.9422007777777778
3496,97,2004,Kinsey,11000000,10214647,17443529,1.5857753636363636
4323,24,2004,Saved!,5000000,8886160,10206551,2.0413102
4305,6,2004,Shaun of the Dead,5000000,13542874,30332385,6.066477
1970,71,2004,Wicker Park,30000000,13001257,21577076,0.7192358666666666
2170,71,2004,Scooby-Doo 2: Monsters Unleashed,25000000,84185387,181185387,7.24741548
2171,72,2004,Anchorman: The Legend of Ron Burgundy,25000000,84136909,89476265,3.5790506
1133,34,2004,Resident Evil: Apocalypse,50000000,50740078,125168734,2.50337468
1968,69,2004,Godsend,30000000,14334645,16910708,0.5636902666666667
1964,65,2004,The Whole Ten Yards,30000000,16323969,26323969,0.8774656333333334
2904,5,2004,Bobby Jones: Stroke of Genius,17000000,2694071,2694071,0.15847476470588234
490,91,2004,The Bourne Supremacy,85000000,176087450,311001124,3.6588367529411765
2142,43,2004,Agent Cody Banks 2: Destination London,26000000,23514247,28703083,1.1039647307692309
979,80,2004,Walking Tall,56000000,46213824,47313824,0.8448897142857142
4374,75,2004,Decoys,5000000,84733,96760,0.019352
3142,43,2004,The Return,15000000,501752,5953886,0.3969257333333333
471,72,2004,King Arthur,90000000,51877963,203877963,2.2653107
3084,85,2004,De-Lovely,15000000,13337299,18524496,1.2349664
1950,51,2004,Little Black Book,30000000,20422207,21758371,0.7252790333333333
1947,48,2004,Mr. 3000,30000000,21800302,21827296,0.7275765333333334
2193,94,2004,Finding Neverland,25000000,51676606,115036108,4.60144432
4416,17,2004,Camping Sauvage,4600000,3479302,3479302,0.75637
2877,78,2004,Jet Li's Hero,17000000,53652140,177535958,10.443291647058823
974,75,2004,After the Sunset,57000000,28328132,38329114,0.6724405964912281
4114,15,2004,Fahrenheit 9/11,6000000,119114517,221148959,36.85815983333333
4814,15,2004,Garden State,2500000,26782316,36028802,14.4115208
1718,19,2004,Wimbledon,35000000,16862585,41666476,1.1904707428571428
2558,59,2004,Team America: World Police,20000000,32774834,50948811,2.54744055
1511,12,2004,Alfie,40000000,13395939,35195939,0.879898475
1199,100,2004,The Big Bounce,50000000,6471394,6626115,0.1325223
1847,48,2004,Dodgeball: A True Underdog Story,30000000,114326736,167791704,5.5930568
4036,37,2004,Veer-Zaara,7000000,2938532,7017859,1.0025512857142858
857,58,2004,Collateral,60000000,100170152,217670152,3.6278358666666666
296,97,2004,The Chronicles of Riddick,120000000,57712751,107212751,0.8934395916666666
5156,57,2004,Saw,1200000,55968727,103880027,86.56668916666666
657,58,2004,Spanglish,75000000,42044321,54344321,0.7245909466666667
1260,61,2004,The Princess Diaries 2: Royal Engagement,45000000,95149435,122071435,2.7126985555555554
269,70,2004,The Day After Tomorrow,125000000,186740799,556319450,4.4505556
2731,32,2004,A Cinderella Story,19000000,51438175,70164105,3.6928476315789474
5123,24,2004,Incident at Loch Ness,1400000,36830,56073,0.040052142857142856
1818,19,2004,George and the Dragon,32000000,0,0,0.0
1286,87,2004,Fat Albert,45000000,48114556,48563556,1.0791901333333334
1294,95,2004,Cellular,45000000,32003620,61475984,1.3661329777777778
666,67,2004,Flight of the Phoenix,75000000,21009180,34009180,0.45345573333333333
3971,72,2004,Code 46,7500000,197148,1788324,0.2384432
1808,9,2004,Laws of Attraction,32000000,17848322,29948322,0.9358850625
3965,66,2004,The Work and the Glory,7500000,3347647,3347647,0.4463529333333333
2683,84,2004,Bon Voyage,20000000,2353728,8361736,0.4180868
238,39,2004,Harry Potter and the Prisoner of Azkaban,130000000,249757726,796907323,6.13005633076923
4655,56,2004,Maria Full of Grace,3200000,6529624,14441158,4.512861875
842,43,2004,Meet the Fockers,60000000,279167575,516567575,8.609459583333333
2709,10,2004,The Touch,20000000,0,5918742,0.2959371
1346,47,2004,Along Came Polly,42000000,88073507,173044410,4.120105
2110,11,2004,Suspect Zero,27000000,8712564,8712564,0.32268755555555556
3334,35,2004,Tae Guik Gi: The Brotherhood of War,12500000,1110186,69826708,5.58613664
3653,54,2004,Teacher's Pet: The Movie,10000000,6491969,6491969,0.6491969
2656,57,2004,Connie & Carla,20000000,8047525,8047525,0.40237625
5274,75,2004,Guiana 1838,1000000,227241,227241,0.227241
4496,97,2004,What the #$'! Do We Know,4000000,10941801,10941801,2.73545025
2044,45,2004,Miracle,28000000,64378093,64474705,2.302668035714286
1775,76,2004,The Punisher,33000000,33664370,54533774,1.652538606060606
2360,61,2004,Beyond the Sea,24000000,6144806,8292914,0.34553808333333336
3098,99,2004,Raise Your Voice,15000000,10411980,14811980,0.9874653333333333
3827,28,2004,The I Inside,8800000,0,0,0.0
3847,48,2004,Silmido,8500000,298347,30298347,3.564511411764706
322,23,2004,Ocean's Twelve,110000000,125531634,362989076,3.299900690909091
3843,44,2004,Club Dread,8500000,5001655,7573551,0.891006
5348,49,2004,Latter Days,850000,833118,865708,1.01848
2047,48,2004,Dawn of the Dead,28000000,58990765,103452875,3.6947455357142855
1425,26,2004,Shall We Dance?,40000000,57887882,118097882,2.95244705
688,89,2004,Two Brothers,72000000,19176754,62176754,0.8635660277777778
5365,66,2004,The Mudge Boy,800000,62544,62544,0.07818
3788,89,2004,Breakin' All the Rules,9000000,12232382,12512317,1.3902574444444444
3371,72,2004,Johnson Family Vacation,12000000,31203964,31286759,2.607229916666667
2649,50,2004,Superbabies: Baby Geniuses 2,20000000,9109322,9355369,0.46776845
2354,55,2004,Win a Date with Tad Hamilton!,24000000,16980098,16980098,0.7075040833333334
2672,73,2004,Birth,20000000,5005899,14603001,0.73015005
1407,8,2004,Ray,40000000,75305995,124823094,3.12057735
3870,71,2004,You Got Served,8000000,40066497,50811858,6.35148225
2768,69,2004,Mean Girls,18000000,86047227,130953026,7.275168111111111
2389,90,2004,Chasing Liberty,23000000,12189514,12291975,0.5344336956521739
1595,96,2004,13 Going On 30,37000000,57139723,97658712,2.6394246486486486
5517,18,2004,Fabled,400000,31425,31425,0.0785625
3404,5,2004,House of Flying Daggers,12000000,11050094,92863945,7.738662083333334
117,18,2004,The Polar Express,170000000,187224605,311365187,1.8315599235294118
1440,41,2004,Secret Window,40000000,47958031,92111551,2.302788775
181,82,2004,Troy,150000000,133298577,484161265,3.2277417666666666
326,27,2004,The Aviator,110000000,102608827,208370892,1.8942808363636363
3722,23,2004,Eulogy,10000000,70527,70527,0.0070527
2627,28,2004,Envy,20000000,13548322,14566246,0.7283123
3703,4,2004,The Brown Bunny,10000000,366301,630427,0.0630427
5776,77,2004,The Mongol King,7000,900,900,0.12857142857142856
5430,31,2004,Open Water,500000,30500882,55518641,111.037282
2615,16,2004,Paparazzi,20000000,15712072,16612072,0.8306036
689,90,2004,The Village,71682975,114197520,257641634,3.594181658894598
692,93,2004,Shrek 2,70000000,441226247,937008132,13.385830457142857
150,51,2004,Alexander,155000000,34297191,167297191,1.0793367161290321
1494,95,2004,Torque,40000000,21176322,46176322,1.15440805
5439,40,2004,Osama,500000,1127331,1971479,3.942958
3391,92,2004,My Baby's Daddy,12000000,17321573,17322212,1.4435176666666667
5443,44,2004,Mean Creek,500000,603951,1348750,2.6975
1509,10,2004,New York Minute,40000000,14018364,21215882,0.53039705
5371,72,2004,Saints and Soldiers,780000,1310470,1310470,1.6800897435897435
3702,3,2004,Shaolin Soccer,10000000,488872,42776032,4.2776032
5774,75,2004,Primer,7000,424760,841926,120.27514285714285
3707,8,2004,Imaginary Heroes,10000000,228524,290875,0.0290875
5768,69,2004,On the Downlow,10000,1987,1987,0.1987
3781,82,2004,Harold & Kumar Go to White Castle,9000000,18225165,18225165,2.025018333333333
4638,39,2004,L\'incomparable mademoiselle C.,3400000,493905,493905,0.14526617647058823
1706,7,2004,Ella Enchanted,35000000,22913677,22913677,0.6546764857142857
2438,39,2004,I Heart Huckabees,22000000,12784713,20034713,0.9106687727272728
1700,1,2004,Jersey Girl,35000000,25266129,37066129,1.0590322571428572
2553,54,2004,Eternal Sunshine of the Spotless Mind,20000000,34366518,72570762,3.6285381
5621,22,2004,Short Cut to Nirvana: Kumbh Mela,200000,381225,439651,2.198255
5635,36,2004,Samantha: An American Girl Holiday,200000,0,0,0.0
1551,52,2004,Against the Ropes,39000000,5881504,6429865,0.16486833333333334
1681,82,2004,Closer,35000000,33987757,116177695,3.3193627142857145
49,50,2004,Spider-Man 2,200000000,373524485,795110670,3.97555335
5627,28,2004,Malevolence,200000,126021,346106,1.73053
710,11,2004,AVP: Alien Vs. Predator,70000000,80281096,172543519,2.4649074142857144
5687,88,2004,The Lost Skeleton of Cadavra,100000,110536,110536,1.10536
1670,71,2004,The Ladykillers,35000000,39692139,77392139,2.2112039714285716
2510,11,2004,White Chicks,20000000,69148997,111448997,5.57244985
3537,38,2004,The Grudge,10000000,110359362,187281115,18.7281115
5709,10,2004,Super Size Me,65000,11529368,22233808,342.05858461538463
3529,30,2004,The Blue Butterfly,10400000,1610194,1610194,0.15482634615384616
3523,24,2004,Darkness,10600000,22163442,34409206,3.2461515094339624
730,31,2004,Sky Captain and the World of Tomorrow,70000000,37760080,49730854,0.7104407714285714
1535,36,2004,The Last Shot,40000000,463730,463730,0.01159325
3502,3,2004,Vera Drake,11000000,3753806,13353855,1.213986818181818
1121,22,2005,Herbie: Fully Loaded,50000000,66010682,144110682,2.88221364
214,15,2005,Fun With Dick And Jane,140000000,110550000,203018919,1.4501351357142858
1265,66,2005,Monster-in-Law,45000000,82931301,155931301,3.465140022222222
1132,33,2005,Syriana,50000000,50824620,92690959,1.85381918
1053,54,2005,Elizabethtown,54000000,26850426,50719373,0.9392476481481481
1112,13,2005,The Ring Two,50000000,75941727,161941727,3.23883454
1056,57,2005,The Dukes of Hazzard,53000000,80270227,109848461,2.0726124716981134
163,64,2005,Charlie and the Chocolate Factory,150000000,206459076,475825484,3.1721698933333333
158,59,2005,Harry Potter and the Goblet of Fire,150000000,290201752,897099794,5.980665293333334
809,10,2005,Zathura,65000000,28045540,58545540,0.9007006153846154
166,67,2005,Batman Begins,150000000,205343774,359142722,2.3942848133333334
2313,14,2005,Venom,25000000,881745,881745,0.0352698
2281,82,2005,The Lords of Dogtown,25000000,11273517,13424365,0.5369746
581,82,2005,Bewitched,80000000,63313159,131159306,1.639491325
2195,96,2005,Hide and Seek,25000000,51100486,123696741,4.94786964
550,51,2005,Robots,80000000,128200012,260700012,3.25875015
2303,4,2005,King's Ransom,25000000,4008527,4049527,0.16198108
2212,13,2005,The Sisterhood of the Traveling Pants,25000000,39053061,41560117,1.66240468
2300,1,2005,The World's Fastest Indian,25000000,5128124,18991288,0.75965152
589,90,2005,The Brothers Grimm,80000000,37899638,105299638,1.316245475
2298,99,2005,Underclassman,25000000,5654777,5654777,0.22619108
402,3,2005,Son of the Mask,100000000,17018422,59918422,0.59918422
509,10,2005,Memoirs of a Geisha,85000000,57010853,161510853,1.9001276823529412
2418,19,2005,Derailed,22000000,36020063,57520063,2.6145483181818183
585,86,2005,The Legend of Zorro,80000000,45575336,141475336,1.7684417
1898,99,2005,Racing Stripes,30000000,49772522,89955540,2.998518
945,46,2005,The Great Raid,60000000,10166502,10597070,0.17661783333333334
1151,52,2005,The Adventures of Sharkboy and Lavagirl in 3-D,50000000,39177684,69425966,1.38851932
2241,42,2005,Ice Princess,25000000,24381334,25732334,1.02929336
1971,72,2005,The New World,30000000,12712093,26184400,0.8728133333333333
1982,83,2005,An Unfinished Life,30000000,8535575,18535575,0.6178525
933,34,2005,Dark Water,60000000,25473093,49473093,0.82455155
178,79,2005,Chicken Little,150000000,135386665,310043823,2.06695882
2364,65,2005,The Bridge of San Luis Rey,24000000,49981,1696765,0.07069854166666667
2361,62,2005,Hauru no ugoku shiro,24000000,4710455,237814327,9.908930291666668
1994,95,2005,Supercross,30000000,3102550,3252550,0.10841833333333334
2014,15,2005,Walk the Line,29000000,119519402,187707495,6.4726722413793105
898,99,2005,Miss Congeniality 2: Armed and Fabulous,60000000,48478006,101382396,1.6897066
2031,32,2005,The Jacket,28500000,6301131,15452978,0.5422097543859649
1951,52,2005,Assault On Precinct 13,30000000,20040895,36040895,1.2013631666666666
865,66,2005,Cheaper by the Dozen 2,60000000,82571173,135015330,2.2502555
930,31,2005,XXX: State of the Union,60000000,26873932,71073932,1.1845655333333334
2058,59,2005,Pride & Prejudice,28000000,38372662,126549607,4.519628821428571
1001,2,2005,Flightplan,55000000,89706988,214392904,3.8980528
1034,35,2005,Aeon Flux,55000000,25857987,53913573,0.9802467818181818
1866,67,2005,Four Brothers,30000000,74494381,92494381,3.083146033333333
1193,94,2005,Domino,50000000,10169202,23574057,0.47148114
1185,86,2005,Into the Blue,50000000,18782227,41982227,0.83964454
1182,83,2005,Man of the House,50000000,19699706,22099706,0.44199412
1884,85,2005,Wallace & Gromit: The Curse of the Were-Rabbit,30000000,56068547,197593152,6.5864384
2425,26,2005,Deuce Bigalow: European Gigolo,22000000,22400154,45273464,2.0578847272727274
1886,87,2005,Corpse Bride,30000000,53359111,114770654,3.8256884666666666
818,19,2005,Oliver Twist,65000000,2070920,26670920,0.41032184615384615
2247,48,2005,A Lot Like Love,25000000,21835784,41921590,1.6768636
1283,84,2005,Kicking and Screaming,45000000,52842724,55842724,1.2409494222222222
482,83,2005,Cinderella Man,88000000,61649911,105021488,1.193426
1684,85,2005,The Bad News Bears,35000000,32868349,33500620,0.9571605714285715
1408,9,2005,Sin City,40000000,74103820,158527918,3.96319795
1713,14,2005,Cursed,35000000,19294901,25114901,0.7175686
1711,12,2005,Valiant,35000000,19478106,64188387,1.8339539142857142
1549,50,2005,Serenity,39000000,25514517,40319440,1.0338317948717948
39,40,2005,King Kong,207000000,218080025,550517357,2.6595041400966184
82,83,2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,291710957,720539572,4.002997622222222
1473,74,2005,Get Rich or Die Tryin',40000000,30981850,46666955,1.166673875
1799,100,2005,The Transporter 2,32000000,43095856,88978458,2.7805768125
1337,38,2005,Danny the Dog,43000000,24537621,49037621,1.1404097906976745
1478,79,2005,Rent,40000000,29077547,31670620,0.7917655
1665,66,2005,Must Love Dogs,35000000,43894863,58405313,1.6687232285714286
1375,76,2005,Wedding Crashers,40000000,209218368,283218368,7.0804592
1450,51,2005,Fever Pitch,40000000,42071069,50071069,1.251776725
1805,6,2005,A History of Violence,32000000,31493782,61477797,1.92118115625
1360,61,2005,Lord of War,42000000,24149632,60437727,1.4389935
1441,42,2005,The Skeleton Key,40000000,47907715,92256918,2.30642295
1282,83,2005,"Yours, Mine and Ours",45000000,53359917,72359917,1.6079981555555556
1643,44,2005,Guess Who,35000000,68915888,102115888,2.9175968
1967,68,2005,The Cave,30000000,15007991,27147991,0.9049330333333333
1284,85,2005,The Hitchhiker's Guide to the Galaxy,45000000,51019112,102746214,2.2832492
1646,47,2005,Sky High,35000000,63939454,83109359,2.3745531142857144
1307,8,2005,The Producers: The Movie Musical,45000000,19398532,32952995,0.7322887777777778
1309,10,2005,Rebound,45000000,16809014,17492014,0.3887114222222222
1686,87,2005,House of Wax,35000000,32064800,70064800,2.0018514285714284
1804,5,2005,Dreamer: Inspired by a True Story,32000000,33022286,39498360,1.23432375
2446,47,2005,The Libertine,22000000,4835065,9448623,0.4294828636363636
2264,65,2005,The Greatest Game Ever Played,25000000,15331289,15468266,0.61873064
462,63,2005,The Interpreter,90000000,72708161,162753837,1.8083759666666666
532,33,2005,The Longest Yard,82000000,158119460,191558505,2.336079329268293
811,12,2005,Elektra,65000000,24409722,56824633,0.8742251230769231
607,8,2005,A Sound of Thunder,80000000,1900451,6300451,0.0787556375
2314,15,2005,Where the Truth Lies,25000000,872142,1415656,0.05662624
220,21,2005,Stealth,138000000,32116746,76416746,0.553744536231884
235,36,2005,War of the Worlds,132000000,234280354,606836535,4.597246477272727
734,35,2005,Doom,70000000,28212337,58757178,0.8393882571428571
725,26,2005,Rumor Has It,70000000,42996140,88933562,1.270479457142857
2107,8,2005,The Honeymooners,27000000,12834849,13174426,0.4879417037037037
2114,15,2005,Mindhunters,27000000,4476235,16566235,0.6135642592592593
685,86,2005,Jarhead,72000000,62647540,96947540,1.3464936111111112
2121,22,2005,The 40 Year-old Virgin,26000000,109449237,177344230,6.820931923076923
338,39,2005,Kingdom of Heaven,110000000,47398413,218853353,1.9895759363636363
2129,30,2005,Red Eye,26000000,57891803,96666486,3.717941769230769
299,100,2005,The Island,120000000,35818913,163018913,1.3584909416666666
652,53,2005,Munich,75000000,47379090,131492772,1.75323696
304,5,2005,Star Wars Ep. III: Revenge of the Sith,115000000,380270577,848998877,7.382598930434782
651,52,2005,Be Cool,75000000,55849401,94944017,1.2659202266666667
646,47,2005,Constantine,75000000,75976178,221594911,2.9545988133333334
317,18,2005,Mr. and Mrs. Smith,110000000,186336279,486124090,4.419309909090909
632,33,2005,Madagascar,75000000,193595521,556559566,7.420794213333333
2157,58,2005,The Constant Gardener,25500000,33579798,86301599,3.384376431372549
662,63,2005,Hostage,75000000,34636443,77636443,1.0351525733333333
1271,72,2005,Coach Carter,45000000,67264877,76665507,1.7036779333333334
484,85,2005,Fantastic Four,87500000,154696080,333132750,3.8072314285714284
961,62,2005,Just Like Heaven,58000000,48318130,100687083,1.7359841896551724
202,3,2005,Sahara,145000000,68671925,121671925,0.839116724137931
1956,57,2005,North Country,30000000,18324242,23676771,0.7892257
5739,40,2005,Funny Ha Ha,30000,77070,82698,2.7566
2503,4,2005,Are We There Yet?,20000000,82674398,98114471,4.90572355
4620,21,2005,D.E.B.S.,3500000,96793,96793,0.027655142857142857
2773,74,2005,The Family Stone,18000000,60062868,92357499,5.130972166666667
5139,40,2005,Neal n' Nikki,1300000,100358,329621,0.2535546153846154
4028,29,2005,Bride & Prejudice,7000000,6601079,25269040,3.6098628571428573
5071,72,2005,The Squid and the Whale,1500000,7372734,11191423,7.460948666666667
2770,71,2005,The Exorcism of Emily Rose,18000000,75072454,144529078,8.029393222222222
3430,31,2005,2046,12000000,1442338,19287485,1.6072904166666666
3122,23,2005,"Kiss Kiss, Bang Bang",15000000,4235837,16829464,1.1219642666666667
2757,58,2005,The Amityville Horror,18500000,65233369,109175673,5.90138772972973
3119,20,2005,Los tres entierros de Melquiades Estrada,15000000,5027684,13454474,0.8969649333333334
5631,32,2005,Solitude,200000,6260,6260,0.0313
5628,29,2005,Side Effects,200000,44701,44701,0.223505
2755,56,2005,George A. Romero's Land of the Dead,18975000,20700082,47751015,2.5165225296442686
3610,11,2005,Roll Bounce,10000000,17380866,17433072,1.7433072
4828,29,2005,Saving Face,2500000,1187266,1269705,0.507882
3432,33,2005,Duma,12000000,870067,994790,0.08289916666666666
4097,98,2005,Layer Cake,6500000,2339957,11745931,1.8070663076923077
2585,86,2005,2 For the Money,20000000,22991379,30491379,1.52456895
4215,16,2005,Diary of a Mad Black Woman,5500000,50406346,50458356,9.174246545454546
5085,86,2005,The Ballad of Jack and Rose,1500000,712294,1126258,0.7508386666666667
4941,42,2005,Inside Deep Throat,2000000,691880,691880,0.34594
5242,43,2005,Junebug,1000000,2678010,3553253,3.553253
2531,32,2005,Boogeyman,20000000,46752382,67192859,3.35964295
5704,5,2005,"Peace, Propaganda and the Promised Land",70000,4930,4930,0.07042857142857142
3548,49,2005,White Noise,10000000,56094360,92094360,9.209436
5722,23,2005,The Call of Cthulhu,50000,0,0,0.0
984,85,2005,Hitch,55000000,177784257,366784257,6.668804672727273
4875,76,2005,Chicken Tikka Masala,2160000,0,37865,0.017530092592592594
4634,35,2005,La marche de l'empereur,3400000,77437223,133276359,39.19892911764706
4785,86,2005,Hustle & Flow,2800000,22202809,23591783,8.425636785714286
4731,32,2005,Oldboy,3000000,707391,6239723,2.0799076666666667
3045,46,2005,The Wedding Date,15000000,31726995,47175038,3.1450025333333333
4522,23,2005,MirrorMask,4000000,864959,973613,0.24340325
5555,56,2005,Fighting Tommy Riley,300000,10514,10514,0.035046666666666663
3623,24,2005,Broken Flowers,10000000,13744960,40744960,4.074496
5547,48,2005,First Morning,300000,87264,87264,0.29088
5102,3,2005,Forty Shades of Blue,1500000,75828,172569,0.115046
3625,26,2005,The Matador,10000000,12589255,17300838,1.7300838
4077,78,2005,The Chumscrubber,6800000,49526,49526,0.007283235294117647
4782,83,2005,High Tension,2850000,3681066,6435262,2.2579866666666666
4011,12,2005,The Devil's Rejects,7000000,17044981,20940428,2.991489714285714
5529,30,2005,Murderball,350000,1531154,1772979,5.065654285714285
5521,22,2005,Show Me,400000,0,0,0.0
5518,19,2005,The Dark Hours,400000,423,423,0.0010575
5779,80,2005,Return to the Land of Wonders,5000,1338,1338,0.2676
4378,79,2005,Fascination,5000000,16670,83356,0.0166712
5580,81,2005,November,250000,191862,191862,0.767448
5585,86,2005,On the Outs,250000,49772,237816,0.951264
3613,14,2005,The Perfect Man,10000000,16535005,19535005,1.9535005
