,id,year,movie,production_budget,domestic_gross,total_gross,profitability
4029,30,2002,Rabbit-Proof Fence,7000000,6199600,16866928,2.409561142857143
1216,17,2002,Panic Room,48000000,95308367,196308367,4.089757645833333
1214,15,2002,The Ring,48000000,129094024,248218486,5.171218458333334
3263,64,2002,The New Guy,13000000,28972187,28972187,2.228629769230769
5158,59,2002,Super Troopers,1200000,18492362,23046142,19.205118333333335
305,6,2002,Star Wars Ep. II: Attack of the Clones,115000000,310676740,656695615,5.710396652173913
2477,78,2002,Moonlight Mile,21000000,6830957,6830957,0.3252836666666667
310,11,2002,Windtalkers,115000000,40914068,77628265,0.6750283913043478
5100,1,2002,Stolen Summer,1500000,119841,119841,0.079894
1196,97,2002,Death to Smoochy,50000000,8355815,8374062,0.16748124
5088,89,2002,The Believer,1500000,406035,1840248,1.226832
2289,90,2002,Possession,25000000,10103647,14805812,0.59223248
2286,87,2002,Abandon,25000000,10719367,12219367,0.48877468
5082,83,2002,Nueve Reinas,1500000,1222889,12412889,8.275259333333333
1556,57,2002,Spy Kids 2: The Island of Lost Dreams,38000000,85846296,119721296,3.1505604210526315
208,9,2002,Men in Black 2,140000000,190418803,441767803,3.1554843071428573
5625,26,2002,Hybrid,200000,162605,162605,0.813025
2565,66,2002,Ghost Ship,20000000,30113491,68349884,3.4174942
2843,44,2002,The Salton Sea,18000000,676698,676698,0.037594333333333334
3022,23,2002,Big Fat Liar,15000000,47811275,52461017,3.4974011333333332
410,11,2002,Gangs of New York,97000000,77730500,183124621,1.8878826907216495
1894,95,2002,Like Mike,30000000,51432423,62432423,2.0810807666666666
712,13,2002,We Were Soldiers,70000000,78120196,114658262,1.6379751714285715
1093,94,2002,Mr. Deeds,50000000,126293452,171269535,3.4253907
5022,23,2002,El crimen de padre Amaro,1800000,5719000,5719000,3.1772222222222224
753,54,2002,The Sum of All Fears,68000000,118471320,193500000,2.8455882352941178
2253,54,2002,Punch-Drunk Love,25000000,17791031,24591031,0.98364124
697,98,2002,xXx,70000000,141930000,267200000,3.817142857142857
778,79,2002,The Santa Clause 2,65000000,139225854,172825854,2.6588592923076924
2261,62,2002,Half Past Dead,25000000,15567860,19233280,0.7693312
2213,14,2002,Undercover Brother,25000000,38230435,40796145,1.6318458
4209,10,2002,Sunshine State,5600000,3064356,3281898,0.5860532142857143
2112,13,2002,Formula 51,27000000,5204007,5204007,0.192741
2271,72,2002,Stealing Harvard,25000000,13973532,13973532,0.55894128
4304,5,2002,Y Tu MamÃ¡ TambiÃ©n,5000000,13649881,33649881,6.7299762
517,18,2002,Collateral Damage,85000000,40048332,78353508,0.9218059764705883
518,19,2002,Showtime,85000000,37948765,78948765,0.928809
525,26,2002,Scooby-Doo,84000000,153294164,276294164,3.289216238095238
4679,80,2002,Martin Lawrence Live: RunTelDat,3000000,19184820,19184820,6.39494
3108,9,2002,The Importance of Being Earnest,15000000,8378141,8378141,0.5585427333333334
895,96,2002,The Tuxedo,60000000,50586000,104429625,1.74049375
1130,31,2002,Unfaithful,50000000,52752475,119114494,2.38228988
4129,30,2002,National Lampoonâs Van Wilder,6000000,21305259,39241323,6.5402205
773,74,2002,Ice Age,65000000,176387405,386116343,5.940251430769231
2788,89,2002,Orange County,18000000,41059716,43308707,2.406039277777778
363,64,2002,Harry Potter and the Chamber of Secrets,100000000,262233381,879225135,8.79225135
3494,95,2002,Frailty,11000000,13110448,19947280,1.8133890909090908
4184,85,2002,Lucky Break,6000000,54606,4316497,0.7194161666666666
1161,62,2002,Murder by Numbers,50000000,31874869,56643267,1.13286534
1914,15,2002,Blue Crush,30000000,40118420,51618420,1.720614
1066,67,2002,Catch Me if You Can,52000000,164606800,355612291,6.838697903846154
3203,4,2002,Jason X,14000000,13121555,16951798,1.2108427142857143
426,27,2002,The Lord of the Rings: The Two Towers,94000000,342548984,934699645,9.94361324468085
743,44,2002,Ballistic: Ecks vs. Sever,70000000,14294842,14294842,0.20421202857142856
2092,93,2002,The Divine Secrets of the Ya-Ya Sisterhood,27000000,69586544,73826768,2.7343247407407407
2989,90,2002,Wasabi,15300000,81525,7000000,0.45751633986928103
1870,71,2002,About Schmidt,30000000,65005217,107054484,3.5684828
4512,13,2002,Secretary,4000000,4046737,9413956,2.353489
360,61,2002,Minority Report,102000000,132024714,358824714,3.5178893529411766
4508,9,2002,The Rules of Attraction,4000000,6525762,11799060,2.949765
732,33,2002,I Spy,70000000,33561137,60279822,0.8611403142857142
691,92,2002,Signs,70702619,227969295,408269295,5.774457874042827
4548,49,2002,Sonny,4000000,17639,17639,0.00440975
396,97,2002,Treasure Planet,100000000,38120554,91800000,0.918
733,34,2002,Bad Company,70000000,30157016,69157016,0.9879573714285714
404,5,2002,The Adventures of Pluto Nash,100000000,4411102,7094995,0.07094995
3234,35,2002,Far From Heaven,13500000,15901849,29027914,2.150215851851852
545,46,2002,Lilo & Stitch,80000000,145771527,245800000,3.0725
556,57,2002,Road to Perdition,80000000,104054514,183354514,2.291931425
4177,78,2002,Morvern Callar,6000000,267194,267194,0.044532333333333333
574,75,2002,Spirit: Stallion of the Cimarron,80000000,73215310,106515310,1.331441375
4923,24,2002,Full Frontal,2000000,2512846,3438804,1.719402
2207,8,2002,The Hours,25000000,41675994,97030468,3.88121872
2983,84,2002,Juwanna Mann,15600000,13571817,13771817,0.8828087820512821
1960,61,2002,Eight Legged Freaks,30000000,17266505,36722311,1.2240770333333333
4247,48,2002,My Big Fat Greek Wedding,5000000,241438208,374890034,74.9780068
2882,83,2002,40 Days and 40 Nights,17000000,37939782,95092667,5.593686294117647
850,51,2002,The Bourne Identity,60000000,121468960,214357371,3.57262285
3151,52,2002,All the Queen's Men,15000000,22723,22723,0.0015148666666666667
999,100,2002,Maid in Manhattan,55000000,93932896,163838217,2.9788766727272726
474,75,2002,K-19: The Widowmaker,90000000,35168966,65716126,0.7301791777777777
4674,75,2002,Bowling for Columbine,3000000,21576018,58240487,19.413495666666666
